Country,n,bcc_S,bcc_T,bcc_ST,bcc_C,ccr_ST,se_ST,manuf_pib,gap_TS
China,9,0.88,0.613,0.88,0.634,0.544,0.599,27.697,-0.268
Australia,4,0.605,0.529,0.666,0.541,0.453,0.609,5.931,-0.076
Peru,4,0.812,0.531,0.906,0.531,0.785,0.915,12.583,-0.281
Ukraine,6,0.6,0.491,0.883,0.491,0.857,1,11.834,-0.108
Japan,9,0.353,0.375,0.407,0.461,0.239,0.6,19.853,0.022
Mexico,9,0.483,0.44,0.649,0.445,0.439,0.677,19.698,-0.043
Luxembourg,6,0.217,0.166,0.292,0.345,0.291,0.996,5.024,-0.051
United States,9,0.398,0.095,0.398,0.232,0.093,0.239,11.177,-0.304
Slovenia,1,0.313,0.192,0.388,0.192,0.388,NA,20.406,-0.121
Brazil,8,0.354,0.162,0.36,0.186,0.159,0.433,10.55,-0.192
Malaysia,5,0.903,0.186,0.906,0.186,0.583,0.544,22.145,-0.717
Romania,6,0.955,0.148,0.959,0.148,0.943,0.974,17.982,-0.807
Bulgaria,3,0.609,0.102,0.622,0.102,0.619,0.995,NA,-0.507
Argentina,7,0.159,0.073,0.179,0.083,0.108,0.59,14.155,-0.087
Singapore,7,0.358,0.082,0.397,0.082,0.278,0.696,18.5,-0.276
Colombia,3,0.536,0.066,0.536,0.066,0.523,0.964,11.579,-0.471
Greece,8,0.656,0.057,0.658,0.057,0.467,0.683,8.166,-0.599
Croatia,3,0.464,0.056,0.466,0.056,0.45,0.994,12.343,-0.408
Poland,9,0.586,0.049,0.586,0.049,0.278,0.479,16.884,-0.537
India,8,0.86,0.047,0.876,0.047,0.604,0.694,14.818,-0.813
Hungary,9,0.283,0.045,0.289,0.047,0.215,0.733,18.503,-0.238
Chile,5,0.271,0.045,0.285,0.046,0.283,0.99,9.612,-0.226
Philippines,1,0.298,0.045,0.298,0.045,0.246,0.826,19.098,-0.253
Austria,9,0.295,0.037,0.295,0.042,0.099,0.348,17.183,-0.258
Spain,9,0.504,0.039,0.505,0.039,0.209,0.424,10.949,-0.465
Indonesia,2,0.69,0.037,0.69,0.037,0.533,0.809,20.776,-0.653
South Africa,6,0.221,0.031,0.228,0.033,0.189,0.779,12.343,-0.19
Italy,2,0.749,0.031,0.749,0.031,0.152,0.203,13.798,-0.718
United Kingdom,3,0.442,0.026,0.442,0.029,0.113,0.253,9.257,-0.416
Portugal,5,0.555,0.028,0.557,0.028,0.365,0.668,12.218,-0.527
France,6,0.355,0.017,0.355,0.022,0.089,0.259,10.136,-0.338
Israel,9,0.106,0.006,0.107,0.015,0.067,0.622,12.172,-0.1
Norway,6,0.174,0.009,0.174,0.011,0.076,0.444,6.409,-0.164
Belgium,4,0.241,0.008,0.241,0.009,0.081,0.377,12.426,-0.232
Netherlands,5,0.274,0.004,0.274,0.005,0.096,0.427,10.055,-0.27
Ireland,2,0.176,0.003,0.176,0.004,0.126,0.715,32.703,-0.174
Switzerland,1,0.098,0.001,0.098,0.002,0.057,0.576,17.857,-0.098
