escore,contextuais,amostra,n,manuf_tobit,manuf_p_tobit,manuf_p_ols_cluster,voice_tobit,voice_p_tobit,gov_tobit,gov_p_tobit
bcc_S,nenhuma,todos,205,0.0124,0.00302,0.189,NA,NA,NA,NA
bcc_S,nenhuma,sem 13 paises EPO,136,0.0225,4.48e-4,0.0535,NA,NA,NA,NA
bcc_S,so governanca,todos,205,0.0133,0.00142,0.154,NA,NA,0.0834,0.025
bcc_S,so governanca,sem 13 paises EPO,136,0.0227,3.11e-4,0.0311,NA,NA,0.116,0.00788
bcc_S,so voice,todos,205,0.00804,0.103,0.439,-0.00375,0.0993,NA,NA
bcc_S,so voice,sem 13 paises EPO,136,0.02,0.0383,0.21,-0.00126,0.73,NA,NA
bcc_S,governanca e voice,todos,205,0.0064,0.189,0.514,-0.00627,0.00876,0.118,0.00242
bcc_S,governanca e voice,sem 13 paises EPO,136,0.0112,0.252,0.471,-0.00579,0.134,0.143,0.00237
bcc_T,nenhuma,todos,205,0.019,1.92e-7,0.017,NA,NA,NA,NA
bcc_T,nenhuma,sem 13 paises EPO,136,0.0233,8.64e-5,0.0146,NA,NA,NA,NA
bcc_T,so governanca,todos,205,0.0185,4e-7,0.0207,NA,NA,-0.0425,0.188
bcc_T,so governanca,sem 13 paises EPO,136,0.0231,8.86e-5,0.0108,NA,NA,-0.0534,0.196
bcc_T,so voice,todos,205,0.00953,0.0231,0.197,-0.0079,3.68e-5,NA,NA
bcc_T,so voice,sem 13 paises EPO,136,0.00417,0.636,0.764,-0.0094,0.00438,NA,NA
bcc_T,governanca e voice,todos,205,0.0095,0.0244,0.195,-0.00795,9.82e-5,0.00235,0.944
bcc_T,governanca e voice,sem 13 paises EPO,136,0.00485,0.597,0.745,-0.00905,0.0111,-0.0114,0.793
bcc_C,nenhuma,todos,205,0.0188,1.1e-6,0.025,NA,NA,NA,NA
bcc_C,nenhuma,sem 13 paises EPO,136,0.0198,9.45e-4,0.0315,NA,NA,NA,NA
bcc_C,so governanca,todos,205,0.0183,2.2e-6,0.0322,NA,NA,-0.0451,0.186
bcc_C,so governanca,sem 13 paises EPO,136,0.0197,9.83e-4,0.0246,NA,NA,-0.0503,0.228
bcc_C,so voice,todos,205,0.00977,0.0286,0.276,-0.00754,2.17e-4,NA,NA
bcc_C,so voice,sem 13 paises EPO,136,0.00277,0.758,0.828,-0.00842,0.0123,NA,NA
bcc_C,governanca e voice,todos,205,0.00981,0.029,0.265,-0.00748,5.78e-4,-0.00274,0.938
bcc_C,governanca e voice,sem 13 paises EPO,136,0.00355,0.704,0.795,-0.00801,0.0274,-0.0132,0.767
